,Name,Keywords (10),Top Keywords List,Top Keywords
0,207다이닝,"파스타, 음식, 아이스크림, 스테이크, 메뉴, 생일, 분위기, 요리, 좋은, 트러플","['특별한 날', '분위기 좋은']","특별한 날, 분위기 좋은"
1,37.5 시그니처 성수점,"분위기, 브런치, 음식, 직원, 맛집, 성수, 좋았어요, 파스타, 좋고, 좋아요","['친절한', '음식이 맛있는', '분위기 좋은']","친절한, 음식이 맛있는, 분위기 좋은"
2,Bar Postscript 바피에스,"와인, 분위기, 음식, 코스, 생일, 서비스, 메뉴, 요리, 가격, 맛있고","['서비스 좋은', '특별한 날', '분위기 좋은', '주류', '음식이 맛있는']","서비스 좋은, 특별한 날, 분위기 좋은, 주류, 음식이 맛있는"
3,ERN 이알앤,"파스타, 메뉴, 음식, 분위기, 소스, 뇨끼, 라자냐, 맛있고, 좋고, 맛있어서","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은"
4,PEEPS (핍스),"파스타, 생면, 음식, 메뉴, 화이트, 뇨끼, 맛있게, 좋은, 분위기, 기분","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은"
5,Pimfy 성수,"음식, 메뉴, 분위기, 파스타, 맛있어요, 스테이크, 성수, 좋고, 좋은, 도리","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은"
6,TOOG 투그,"음식, 메뉴, 핫도그, 와인, 주문, 파스타, 맛있었어요, 소스, 로우, 분위기","['주류', '음식이 맛있는', '분위기 좋은']","주류, 음식이 맛있는, 분위기 좋은"
7,TWG Tea 성수낙낙점,"분위기, 좋고, 기분, 시간, 디저트, 예약, 음식, 좋은, 맛있어요, 좋아요","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은"
8,Tinto,"와인, 음식, 메뉴, 비프, 웰링턴, 감자, 버터, 가격, 맛있게, 소스","['주류', '음식이 맛있는']","주류, 음식이 맛있는"
9,Wip seongsu (윕 성수),"분위기, 메뉴, 와인, 음식, 좋았어요, 스테이크, 파스타, 뇨끼, 연말, 맛있고","['주류', '음식이 맛있는', '분위기 좋은', '특별한 날']","주류, 음식이 맛있는, 분위기 좋은, 특별한 날"
10,dooop,"분위기, 음식, 와인, 좋은, 기분, 좋았어요, 맛있었어요, 메뉴, 서비스, 좋고","['서비스 좋은', '주류', '음식이 맛있는', '분위기 좋은']","서비스 좋은, 주류, 음식이 맛있는, 분위기 좋은"
11,oiljang,"와인, 음식, 메뉴, 추천, 리스트, 맛있게, 맛집, 소스, 오일장, 주문","['주류', '음식이 맛있는', '추천하는']","주류, 음식이 맛있는, 추천하는"
12,가나초콜릿하우스,"디저트, 초콜릿, 가나, 음료, 초코, 예약, 팝업, 좋았어요, 메뉴, 사진",[],
13,갈비집 본,"고기, 분위기, 갈비, 서비스, 식사, 찌개, 맛있게, 맛있고, 목살, 건대","['서비스 좋은', '음식이 맛있는', '분위기 좋은']","서비스 좋은, 음식이 맛있는, 분위기 좋은"
14,감도 성수점,"아이스크림, 디저트, 예약, 가격, 레터, 맛있어요, 바질, 분위기, 서비스, 조약돌","['서비스 좋은', '음식이 맛있는', '분위기 좋은']","서비스 좋은, 음식이 맛있는, 분위기 좋은"
15,강별 성수,"음식, 서비스, 레터, 생일, 기념일, 식사, 코스, 분위기, 메뉴, 예약","['서비스 좋은', '특별한 날', '분위기 좋은']","서비스 좋은, 특별한 날, 분위기 좋은"
16,경주이씨,"메뉴, 음식, 안주, 가격, 분위기, 맛있고, 최고, 좋은, 주문, 맛집","['음식이 맛있는', '분위기 좋은', '추천하는']","음식이 맛있는, 분위기 좋은, 추천하는"
17,고래소년 (오마카세),"스시, 마카, 예약, 분위기, 음식, 친절하시고, 가격, 좋았습니다, 맛있게, 셰프","['친절한', '음식이 맛있는', '분위기 좋은']","친절한, 음식이 맛있는, 분위기 좋은"
18,고로고로 성수,"오차즈케, 음식, 장어, 로고, 맛있었어요, 요청, 테이블, 해산물, 도미, 분위기","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은"
19,곡성 성수,"예약, 분위기, 와인, 테이블, 꽃다발, 성수, 추천, 좋은, 파스타, 음식","['주류', '분위기 좋은', '추천하는']","주류, 분위기 좋은, 추천하는"
20,곤스 gon`s,"분위기, 하이, 음식, 맛집, 안주, 좋아요, 곤스, 구이, 데이트, 미소","['음식이 맛있는', '분위기 좋은', '데이트/연인과 함께']","음식이 맛있는, 분위기 좋은, 데이트/연인과 함께"
21,골든센트리,"음식, 분위기, 메뉴, 좋은, 요리, 중식, 코스, 어향가, 소스, 좋고",['분위기 좋은'],분위기 좋은
